Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE
"•	Clássica Aldeias do Xisto: o	Organização, preparação e planificação das ações, em articulação com a ADXTUR; o	Realização e acompanhamento das ações, garantindo todas as condições que permitam o cumprimento das regras da Direção-Geral da Saúde (DGS) para a prevenção da transmissão da COVID-19 entre organização, participantes e público; o	Produção de conteúdos de comunicação e promoção;  o	Cobertura fotográfica e audiovisual; o	Levantamento e marcação dos percursos; o	Produção de indicadores de realização e de resultado; o	Comunicação pós-evento; o	Elaboração de relatório final de avaliação ";Ajuste Direto Regime Geral;Aquisição de serviços;"92000000-1, Serviços recreativos, culturais e desportivos";ADXTUR - Agência para o Desenvolvimento Turístico das Aldeias do Xisto (507925270);Federação Portuguesa de Ciclismo (500110379);"16.260,00 €";23-04-2021;31-03-2021;61 dias;"Portugal, Coimbra";"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
2021001259 - AQUISIÇÃO DE CARROS DE TRANSPORTE PARA COZINHA PARA APOIO AO COVID19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"42671100-1, Carrinhos para transporte de instrumentos de laboratório";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);"ENGIFRIO, SOCIEDADE DE REFRIGERAÇÃO, LDA (504680340)";"17.196,00 €";23-04-2021;18-02-2021;5 dias;Portugal;"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc0NTgz;false;
Prestação de serviços de descontaminação e desinfeção de edifícios contaminados no âmbito do covid-19;Ajuste Direto Regime Geral;Aquisição de serviços;"90900000-6, Serviços de limpeza e saneamento";Município de Albufeira (503539473);"Rentokil Initial Portugal - Serviços de Proteção Ambiental, Lda (501351167)";"74.900,00 €";22-04-2021;25-03-2021;282 dias;Portugal;"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;https://gov.saphety.com/bizgov/econcursos/procedurePiecesExport_203864!exportProcedure.action;false;
"Aquisição de Equipamento (dentário) para transferência dos serviços de ORL/CMF, no âmbito da expansão da medicina intensiva HSJ, no âmbito do COVID-19";Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar Universitário de Lisboa Central, E.P.E. (CHULC) (508080142)";"MONTELLANO, LDA (500196494)";"15.500,00 €";21-04-2021;08-03-2021;1 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de 20 computadores desktops para os novos serviços de apoio ao COVID-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"30230000-0, Equipamento informático";"Centro Hospitalar Universitário de Lisboa Central, E.P.E. (CHULC) (508080142)";Antonio Alexandre Pereira Sequeira (180098918);"8.999,00 €";21-04-2021;15-03-2021;50 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de 40 cadeirões para o CHULC, no âmbito do COVID-19";Ajuste Direto Regime Geral;Aquisição de bens móveis;"39113000-7, Assentos e cadeiras diversos";"Centro Hospitalar Universitário de Lisboa Central, E.P.E. (CHULC) (508080142)";Mundinter - Intercâmbio Mundial de Comércio (500199906);"10.000,00 €";21-04-2021;03-03-2021;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Agulhas para a vacinação do COVID, ao abrigo de Acordos Quadro (AQ’s) dos Serviços Partilhados do Ministério da Saúde, EPE (SPMS)";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;"33100000-1, Equipamento médico";"Administração Regional de Saúde do Alentejo, I. P. (503148768)";PMH - PRODUTOS MÉDICOS (502376899);"336,00 €";21-04-2021;17-03-2021;60 dias;"Portugal, Évora";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;21-04-2021;"330,00 €";;o valor por unidade foi inferior;;3016192;CP 2017/213 - Acordo quadro para fornecimento de Agulhas às Instituições e Serviços do Serviço Nacional de Saúde;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1419821;false;
"Seringas para a vacinação do COVID, ao abrigo de CPA's da SPMS (CAPS)";Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;"33141310-6, Seringas";"Administração Regional de Saúde do Alentejo, I. P. (503148768)";"B BRAUN MEDICAL, LDA. (501506543)";"2.035,00 €";21-04-2021;17-03-2021;60 dias;"Portugal, Évora";Artigo 259.º do Código dos Contratos Públicos;Cumprimento integral do contrato;21-04-2021;"2.035,00 €";;;;3498461;Seringas;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1420033;false;
Aquisição de fornecimento e instalação de CHILLER para os Claustros de HSM- no âmbito do COVID-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"42500000-1, Equipamento de refrigeração e ventilação";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"AMB & COLD, LDA. (515127353)";"98.884,73 €";21-04-2021;26-02-2021;20 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"AD/33/ANEPC/2021 - Aquisição de Serviços no âmbito do Workshop PPUE21 ""Civil Protection in the COVID-19 era: Business continuity, adaptation and capacity development";Ajuste Direto Regime Geral;Aquisição de serviços;"98390000-3, Outros serviços";Autoridade Nacional de Emergência e Proteção Civil (600082490);"Multilem, Design e Construção de Espaços, S.A. (501730281)";"46.166,00 €";21-04-2021;30-03-2021;15 dias;"Portugal, Lisboa, Oeiras";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Construção de cobertura e sinalética exterior do Centro de Saúde de Sete Rios no âmbito do Covid-19;Ajuste Direto Regime Geral;Empreitadas de obras públicas;"45300000-0, Instalações em edifícios";"Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776)";"C2DL, Lda (514461446)";"16.780,00 €";21-04-2021;22-03-2021;60 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Prestação de serviços de comunicações móveis de suporte à AMA para envio e receção de mensagens, através da Gateway de SMS da Administração pública (GAP), repartidos por quatro lotes, para o número 2424, no âmbito do processo de agendamento da vacinação contra o COVID-19, mais concretamente serviços de suporte ao envio e receção de mensagens (SMS) informativas, no âmbito nacional e internacional, através de rede móvel nacional e respeita ao lote 4.";Ajuste Direto Regime Geral;Aquisição de serviços;"64212100-6, Serviço de Mensagens Curtas (SMS)";"Agência para a Modernização Administrativa, I. P. (508184509)";NOS – Comunicações S.A. (502604751);"200.000,00 €";20-04-2021;26-03-2021;275 dias;"Portugal, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc3MDc1;false;
"Prestação de serviços de aluguer e instalações de estrutura modulares para a urgência do HDE, no âmbito do COVID-19 ";Ajuste Direto Regime Geral;Aquisição de serviços;"70220000-9, Serviços de arrendamento ou locação de propriedades não residenciais próprias";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"MBW - MODULAR BUILDERS WORLDWIDE, LDA (515337161)";"18.390,00 €";20-04-2021;25-02-2021;181 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Prestação de serviços de comunicações móveis de suporte à AMA para envio e receção de mensagens, através da Gateway de SMS da Administração pública (GAP), repartidos por quatro lotes, para o número 2424, no âmbito do processo de agendamento da vacinação contra o COVID-19, mais concretamente serviços de suporte ao envio e receção de mensagens (SMS) para o número 2424 através da rede Vodafone e diz respeito ao lote 2.";Ajuste Direto Regime Geral;Aquisição de serviços;"64212100-6, Serviço de Mensagens Curtas (SMS)";"Agência para a Modernização Administrativa, I. P. (508184509)";"Vodafone Portugal – Comunicações Pessoais, S.A. (502544180)";"335.000,00 €";20-04-2021;26-03-2021;275 dias;"Portugal, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc3MDU1;false;
"Prestação de serviços de comunicações móveis de suporte à AMA para envio e receção de mensagens, através da Gateway de SMS da Administração pública (GAP), repartidos por quatro lotes, para o número 2424, no âmbito do processo de agendamento da vacinação contra o COVID-19, mais concretamente serviços de suporte ao envio e receção de mensagens (SMS) para o número 2424 através da rede MEO e diz respeito ao lote 1";Ajuste Direto Regime Geral;Aquisição de serviços;"64212100-6, Serviço de Mensagens Curtas (SMS)";"Agência para a Modernização Administrativa, I. P. (508184509)";"MEO – Serviços de Comunicações e Multimédia, S.A. (504615947)";"335.000,00 €";20-04-2021;26-03-2021;275 dias;"Portugal, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc3MDcy;false;
"Prestação de serviços de aluguer de contentores frigoríficos para cadáveres, para o HCC, no âmbito do COVID-19";Ajuste Direto Regime Geral;Aquisição de serviços;"70220000-9, Serviços de arrendamento ou locação de propriedades não residenciais próprias";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"MBW - MODULAR BUILDERS WORLDWIDE, LDA (515337161)";"14.300,00 €";20-04-2021;19-02-2021;90 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Prestação de serviços de comunicações móveis de suporte à AMA para envio e receção de mensagens, através da Gateway de SMS da Administração pública (GAP), repartidos por quatro lotes, para o número 2424, no âmbito do processo de agendamento da vacinação contra o COVID-19, mais concretamente Serviços de suporte ao envio e receção de mensagens (SMS) para o número 2424 através da rede NOS, e diz respeito ao lote 3";Ajuste Direto Regime Geral;Aquisição de serviços;"64212100-6, Serviço de Mensagens Curtas (SMS)";"Agência para a Modernização Administrativa, I. P. (508184509)";NOS – Comunicações S.A. (502604751);"330.000,00 €";20-04-2021;26-03-2021;275 dias;"Portugal, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc3MDc0;false;
"Prestação de serviços de aluguer de viatura com báscula para os armazéns do CHULC, no âmbito do COVID-19";Ajuste Direto Regime Geral;Aquisição de serviços;"63000000-9, Serviços anexos e auxiliares dos transportes; serviços de agências de viagens";"Centro Hospitalar Universitário de Lisboa Central, E.P.E. (CHULC) (508080142)";"Transportadora Central Campo Santana, Lda  (500287414)";"4.400,00 €";20-04-2021;17-02-2021;20 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aluguer e instalação de tendas para protecção de utentes, no âmbito do COVID-19, para o CHULC (HSJ/HSAC)";Ajuste Direto Regime Geral;Aquisição de serviços;"70220000-9, Serviços de arrendamento ou locação de propriedades não residenciais próprias";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";silvestre festas - tendas e equipamentos para festas lda (504402013);"10.425,00 €";19-04-2021;17-02-2021;59 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aluguer e instalação de tendas para protecção de utentes, no âmbito do COVID-19, para o CHULC (HSJ/HCC/HSAC)";Ajuste Direto Regime Geral;Aquisição de serviços;"70220000-9, Serviços de arrendamento ou locação de propriedades não residenciais próprias";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";silvestre festas - tendas e equipamentos para festas lda (504402013);"20.155,00 €";19-04-2021;16-02-2021;59 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
4590012/2021 - ALUGUER COM INSTALAÇÃO DE COMPRESSOR DE AR MEDICINAL NO ÂMBITO DO PLANO DE CONTINGÊNCIA COVID-1;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"Gasin II Unipessoal, Lda. (510183751)";"5.062,50 €";19-04-2021;18-02-2021;15 dias;"Portugal, Setúbal, Barreiro";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";Cumprimento integral do contrato;15-04-2021;"5.062,50 €";;;;Não aplicável.;Não aplicável.;false;;false;
Prestação de Serviços de Lavagem e Tratamento de Roupa Hospitalar no Centro de Apoio Militar COVID-19.;Ajuste Direto Regime Geral;Aquisição de serviços;"98390000-3, Outros serviços";"Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776)";SUCH | Serviço de Utilização Comum dos Hospitais (500900469);"84.000,00 €";16-04-2021;24-03-2021;180 dias;"Portugal, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Prestação de Serviços de Apoio logístico às equipas colocadas na linha da frente para o combate a pandemia, nomeadamente ao nível das Áreas Dedicadas COVID, no âmbito dos serviços excecionais COVID 19.";Ajuste Direto Regime Geral;Aquisição de serviços;"60000000-8, Serviços de transporte (excl. transporte de resíduos)";"Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776)";SUCH | Serviço de Utilização Comum dos Hospitais (500900469);"20.850,78 €";16-04-2021;12-03-2021;180 dias;"Portugal, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Prestação de Serviços de Transporte a realizar na área de abrangência da Administração Regional de Saúde de Lisboa e Vale do Tejo, Instituto Público (ARSLVT, I.P.), no âmbito da situação epidemiológica do novo Coronavírus – COVID 19. ";Ajuste Direto Regime Geral;Aquisição de serviços;"60000000-8, Serviços de transporte (excl. transporte de resíduos)";"Administração Regional de Saúde de Lisboa e Vale do Tejo, I. P. (503148776)";SUCH | Serviço de Utilização Comum dos Hospitais (500900469);"37.725,96 €";16-04-2021;12-03-2021;180 dias;"Portugal, Leiria<BR/>Portugal, Lisboa<BR/>Portugal, Santarém<BR/>Portugal, Setúbal";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Equipamentos/produtos Anti-Covid 19 – equipamento (Máscaras) e Produtos (SABA (solução alcoólica desinfetante)).;Consulta Prévia;Aquisição de bens móveis;"24322000-7, Álcoois, fenóis, fenóis-álcoois e seus derivados halogenados, sulfonados, nitrados ou nitrosados; álcoois gordos industriais<BR/>35810000-5, Equipamento individual";Agrupamento de Escolas de Tábua (600074668);"Higimarto - Indústria e Comércio de Produtos de Higiuene e Limpeza, Lda. (504512218)";"5.394,16 €";16-04-2021;19-03-2021;60 dias;"Portugal, Coimbra, Tábua";"Artigo 22.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
FATO INTEGRAL IRRECUPERAVEL TIPO MACACÃO (COVID-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33700000-7, Produtos para cuidados pessoais";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";"Hr Protecção, SA (505766205)";"56.500,00 €";16-04-2021;16-02-2021;1 dias;"Portugal, Viseu, Viseu";"Artigo 2.º-B, n.º 1, alínea c), do DL10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
AQ. DE MASCARA (RESPIRADOR DE PARTICULAS) P2 (covid-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";"Medirm – Fabrico e Comércio de Dispositivos Médicos, Lda (507162773)";"97.680,00 €";15-04-2021;11-02-2021;323 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;http://www.chedv.min-saude.pt;false;
Serviços de Desinfeção Especializada Covid-19;Ajuste Direto Regime Geral;Aquisição de serviços;"90921000-9, Serviços de desinfecção e exterminação";"Instituto da Segurança Social, IP (505305500)";"OPERANDUS-Limpeza Profissional, Lda (502771496)";"75.000,00 €";15-04-2021;24-03-2021;359 dias;"Portugal, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/index.php/zonaPublica/zona_publica_c/donwloadProcedurePiece/NDc2ODE2;false;
Aq. BATA PROTECÇÃO DESC. NÃO ESTERILIZADA (covid-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";"Clothe-Up -  Desenvolvimento Têxtil, Unipessoal, Lda. (510366872)";"66.000,00 €";14-04-2021;04-02-2021;330 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;http://www.chedv.min-saude.pt;false;
01/ADe.21.277- Reagentes GENEFINDER COVID-19 PLUS REALAMPKIT;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696000-5, Reagentes e meios de contraste";"Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262)";"BIOPORTUGAL, LDA (502380543)";"2.450.000,00 €";14-04-2021;18-03-2021;289 dias;"Portugal, Porto, Penafiel";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Material de Segurança para proteção/Prevenção Covid 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"39230000-3, Produtos para usos especiais";Agrupamento de Escolas de Cabeceiras de Basto (600084230);"Max One - Material de Escritório, Lda. (507052609)";"4.023,98 €";14-04-2021;30-03-2021;60 dias;"Portugal, Braga, Cabeceiras de Basto<BR/>Portugal";"Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1457379;false;
Aq. BATAS IMPERMEÁVEIS DESCARTÁVEIS NÃO ESTÉREIS TAM. L e XL (covid-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";PTTEX - Industria Textil (514863471);"95.200,00 €";14-04-2021;04-02-2021;328 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;http://www.chedv.min-saude.pt;false;
Refeições de funcionários no serviço COVID - Kit cirurgia;Ajuste Direto Regime Geral;Aquisição de serviços;"55000000-0, Serviços de hotelaria, restauração e comércio a retalho";Hospital Dr. Francisco Zagalo - Ovar (501510150);SUCH | Serviço de Utilização Comum dos Hospitais (500900469);"1.000,00 €";14-04-2021;18-03-2021;365 dias;"Portugal, Aveiro, Ovar";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
