Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE
REAGENTE SARS-COV-2 TESTES RÁPIDOS COVID-19  TESTE VitaPCR SARS-CoV-2 ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";Menarini diagnosticos Lda. (502610069);"82.000,00 €";21-04-2021;26-11-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
REAGENTE SARS-COV-2 TESTES RÁPIDOS COVID-19  TESTE VitaPCR SARS-CoV-2 ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";"ABBOTT LABORATÓRIOS, LDA. (500006148)";"240.000,00 €";21-04-2021;26-11-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
TESTES RÁPIDOS COVID-19  TESTE VitaPCR SARS-CoV-2 TESTE VitaPCR SARS-CoV-2   ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";Cepheid Iberia S.L.U. - Sucursal em Portugal (980655684);"250,00 €";21-04-2021;26-11-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
TESTES RÁPIDOS COVID-19  TESTE VitaPCR SARS-CoV-2 TESTE VitaPCR SARS-CoV-2   ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";Menarini diagnosticos Lda. (502610069);"44.520,00 €";21-04-2021;26-11-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
TESTES RÁPIDOS COVID-19  TESTE VitaPCR SARS-CoV-2 TESTE VitaPCR SARS-CoV-2   ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";"ABBOTT LABORATÓRIOS, LDA. (500006148)";"82.000,00 €";21-04-2021;26-11-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição de serviços extraordinários de segurança e vigilância no âmbito das medidas decretadas relativas à situação epidemiológica COVID-19 para os Museus, Monumentos e Palácios afectos à Direcção Geral do Património Cultural ";Ajuste Direto Regime Geral;Aquisição de serviços;"79710000-4, Serviços de segurança";Direção-Geral do Património Cultural (600084914);"Prestibel – Empresa de Segurança, S.A. (501326456)";"657.790,12 €";20-04-2021;27-01-2021;120 dias;Portugal;"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Prestação de serviços de transição de medicamentos hospitalares para as farmácias comunitárias, no âmbito do COVID-19";Ajuste Direto Regime Geral;Aquisição de serviços;"60000000-8, Serviços de transporte (excl. transporte de resíduos)";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"PLURAL - COORPERATIVA FARMACÊUTICA, CRL (500349142)";"262,63 €";20-04-2021;19-01-2021;1 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
TESTES RÁPIDOS COVID-19 AG TEST ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";"HEMOVISION, Lda (509717853)";"6.500,00 €";20-04-2021;23-09-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
TESTES RÁPIDOS COVID-19  ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";Cepheid Iberia S.L.U. - Sucursal em Portugal (980655684);"2.968,00 €";20-04-2021;25-08-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Prestação de serviços de aluguer de viatura com Báscula para os armazéns do CHULC, no âmbito do COVID-19";Ajuste Direto Regime Geral;Aquisição de serviços;"63000000-9, Serviços anexos e auxiliares dos transportes; serviços de agências de viagens";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"Transportadora Central Campo Santana, Lda  (500287414)";"6.600,00 €";20-04-2021;07-01-2021;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
TESTES RÁPIDOS COVID-19  ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";CEPHEID (980655684);"44.520,00 €";20-04-2021;27-07-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
4150003/2021 - AQUIS GARRAFAS OXIGENIO MEDICINAL 10 E 20LT (PLANO CONTING. COVID19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"Gasin II Unipessoal, Lda. (510183751)";"39.800,00 €";19-04-2021;26-01-2021;34 dias;"Portugal, Setúbal, Barreiro";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";Cumprimento integral do contrato;01-03-2021;"19.560,00 €";;"De acordo com as necessidades do CHBM, EPE";;Não aplicável.;Não aplicável.;false;;false;
4150001/2021 - AQUIS GARRAFAS OXIGENIO MEDICINAL 10 E 20LT (PLANO CONTING. COVID19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"Gasin II Unipessoal, Lda. (510183751)";"5.700,00 €";19-04-2021;14-01-2021;11 dias;"Portugal, Setúbal, Barreiro";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";Cumprimento integral do contrato;25-01-2021;"3.179,00 €";;"De acordo com as necessidades do CHBM, EPE";;Não aplicável.;Não aplicável.;false;;false;
 AQ. DE LUVAS DE NITRILO (covid-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";Escape Forte Lda (506043274);"557.600,00 €";14-04-2021;14-01-2021;351 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;http://www.chedv.min-saude.pt;false;
AQ. EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL (Covid-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar de Entre o Douro e Vouga, E.P.E. (508878462)";"Clothe-Up -  Desenvolvimento Têxtil, Unipessoal, Lda. (510366872)";"49.850,00 €";14-04-2021;14-01-2021;351 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 2.º -A, n.º 1 do DL n.º 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;http://www.chedv.min-saude.pt;false;
02/CP.20.1866 - Produtos de desinfeção para prevenção à COVID19;Concurso público;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262)";"VYGON (PORTUGAL), LDA (503232785)";"1.008,00 €";13-04-2021;15-01-2021;351 dias;"Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1265957;false;
02/CP.20.1866 - Produtos de desinfeção para prevenção à COVID19;Concurso público;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262)";"PMH - Produtos Médicos Hospitalares, S.A. (502376899)";"2.422,00 €";13-04-2021;25-01-2021;341 dias;"Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1265957;false;
02/CP.20.1866 - Produtos de desinfeção para prevenção à COVID19;Concurso público;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262)";PROCLIN. - EQUIPAMENTOS E PRODUTOS CLINICOS (500222665);"1.020,00 €";13-04-2021;18-01-2021;348 dias;"Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1265957;false;
"Aquisição de 2550 unidades de testes rápidos de pesquisa Antigénio   para Coronavírus SARS-COV-2, no âmbito da Política Municipal de combate à Pandemia do COVID-19";Ajuste Direto Regime Geral;Aquisição de bens móveis;"33141000-0, Material médico não químico descartável e produtos hematológicos";Município de Vila Nova de Gaia (505335018);" InoCrowd, S.A (509704336)";"25.228,68 €";13-04-2021;23-12-2020;20 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
AQUISIÇÃO DE FENTANILO 0.05 MG/ML SOL INJ FR 5 ML IV - COVID;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";Labesfal (501169580);"220,00 €";12-04-2021;15-12-2020;17 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;;;;;;;3608888;"CP 2018/44 - Medicamentos analgésicos, antipiréticos e antidepressivos";false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1345872;false;
"Fornecimento de máscaras, luvas, aventais, viseiras e saba, como medida de confinamento no âmbito do combate à pandemia da doença COVID 19.";Consulta Prévia;Aquisição de bens móveis;"35000000-4, Equipamento de segurança, combate a incêndios, polícia e defesa";Agrupamento de Escolas de Celeirós (600080889);"Max One - Material de Escritório, Lda. (507052609)";"999,00 €";12-04-2021;19-08-2020;42 dias;"Portugal, Braga, Braga";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Fornecimento de máscaras, luvas, aventais, viseiras e saba, como medida de confinamento no âmbito do combate à pandemia da doença COVID 19.";Consulta Prévia;Aquisição de bens móveis;"18100000-0, Vestuário profissional, vestuário de trabalho especial e acessórios";Agrupamento de Escolas de Celeirós (600080889);Sociedade Textil Vital e Marques Rodrigues Filhos SA (500269106);"2.046,00 €";12-04-2021;19-08-2020;42 dias;"Portugal, Braga, Braga";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
SULPROSTONA 0.5 MG PÓ SOL INJ FR IV (COVID);Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;"33641000-5, Medicamentos para o aparelho geniturinário e hormonas sexuais";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"BAYER PORTUGAL, SA. (500043256)";"885,60 €";12-04-2021;12-11-2020;50 dias;Portugal;Artigo 259.º do Código dos Contratos Públicos;;;;;;;3016206;"CP 2017/48 - Acordo Quadro para fornecimento de Medicamentos do aparelho geniturinário, às Instituições e Serviços do Serviço Nacional de Saúde";false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1310089;false;
Aquisição de cobas 6800 SARS-CoV-2 - Continência Covid-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696000-5, Reagentes e meios de contraste";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"Roche Sistemas de Diagnóstico, Lda (504282921)";"860.534,40 €";09-04-2021;28-01-2021;5 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de Cobas LIAT SARS-CoV-2 - Covid-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696000-5, Reagentes e meios de contraste";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"Roche Sistemas de Diagnóstico, Lda (504282921)";"23.520,00 €";09-04-2021;15-01-2021;5 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de Cobas LIAT SARS-CoV-2 - Plano Contingência do Covid-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696000-5, Reagentes e meios de contraste";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";"Roche Sistemas de Diagnóstico, Lda (504282921)";"42.000,00 €";09-04-2021;28-01-2021;5 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de Testes SARS-Cov-2 - Contingência Covid-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696000-5, Reagentes e meios de contraste";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";Cepheid Ibéria S.L.U. Sucursal em Portugal (980655684);"168.168,00 €";09-04-2021;12-01-2021;5 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
4500027/2021 Caixas barreira protetora de aerossóis (Covid19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar Barreiro Montijo, E. P. E. (509186998)";"Dimorasept - Higiene Médica-Hospitalar, Lda. (510258786)";"6.800,00 €";09-04-2021;29-01-2021;20 dias;"Portugal, Setúbal, Barreiro";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";Cumprimento integral do contrato;17-02-2021;"6.800,00 €";;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de kit para deteção por RT-PCR (2019-nCoV) - Contingência Covid-19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33696000-5, Reagentes e meios de contraste";"Centro Hospitalar Vila Nova de Gaia - Espinho, E. P. E. (508142156)";GLSMED TRADE S.A. (513515119);"24.000,00 €";09-04-2021;19-01-2021;5 dias;"Portugal, Porto, Vila Nova de Gaia";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Prestação de serviços de fornecimento e montagem de sistema de CCTV - Infeciologia do HCC- no âmbito do COVID-16;Ajuste Direto Regime Geral;Aquisição de serviços;"51000000-9, Serviços de instalação (excepto software)";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"I.T.V.M, Lda. (508094356)";"9.366,88 €";08-04-2021;27-10-2020;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Prestação de serviços de Substituição de baterias - Imagiologia  HSJ - no âmbito do COVID-19;Ajuste Direto Regime Geral;Aquisição de serviços;"50000000-5, Serviços de reparação e manutenção";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"Amperkestor Instalações Eletricas, Lda. (514383003)";"19.856,00 €";08-04-2021;15-12-2020;10 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Projecto de infraestruturas para rede informática de dados e voz -  no âmbito da Pandemia COVID-19;Ajuste Direto Regime Geral;Aquisição de serviços;"64000000-6, Serviços postais e de telecomunicações";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"FONOTEL - COMUNICAÇÕES, S.A. (501397469)";"807,94 €";08-04-2021;06-07-2020;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Prestação de serviços de projecto de infraestruturas de cablagem de rede e telefone - no âmbito do COVID-19;Ajuste Direto Regime Geral;Aquisição de serviços;"64000000-6, Serviços postais e de telecomunicações";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"FONOTEL - COMUNICAÇÕES, S.A. (501397469)";"4.225,37 €";08-04-2021;06-07-2020;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Prestação de serviços de realização de testes COVID-19 aos doentes do CHULC alocados nas Residências Montepio ;Ajuste Direto Regime Geral;Aquisição de serviços;"85148000-8, Serviços de análises clínicas";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";RESIDENCIAS MONTEPIO SERVICOS DE SAUDE SA (507403908);"3.425,00 €";08-04-2021;22-10-2020;70 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aquisição de Camas para o CHTS - 2ª Vaga Covid19 Ala C - USG;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33192100-3, Camas para medicina";"Centro Hospitalar do Tâmega e Sousa, E. P. E. (508318262)";"IMO - Industrias Metalúrgicas, S.A. (500136939)";"43.170,00 €";06-04-2021;30-12-2020;1 dias;"Portugal, Porto, Penafiel<BR/>Portugal, Porto, Amarante";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
PROPOFOL 20 MG/ML EMUL INJ FR 50 ML IV (LISTA COVID);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"B BRAUN MEDICAL, LDA (501506543)";"2.365,00 €";05-04-2021;07-12-2020;25 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Serviços para desalfandegamento - 9 Ventiladores Crius 6 - COVID 19;Ajuste Direto Regime Geral;Aquisição de serviços;"60000000-8, Serviços de transporte (excl. transporte de resíduos)";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";Adeta Viana - Navegação e Trânsitos Lda. (503350745);"5.043,79 €";05-04-2021;19-08-2020;1 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Aluguer de Ampliação de Instalações da Urgência do HSL no âmbito do COVID 19;Ajuste Direto Regime Geral;Aquisição de serviços;"71000000-8, Serviços de arquitectura, construção, engenharia e inspecção";"Unidade Local de Saúde do Alto Minho, E. P. E. (508786193)";"Praiaco - Soc. Construções, Lda. (504970690)";"14.418,75 €";05-04-2021;06-08-2020;90 dias;"Portugal, Viana do Castelo, Viana do Castelo";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Mascara de Proteção Respiratória - P2 - COVID 19;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Hospital Distrital Figueira da Foz, E.P.E. (506361527)";"BTL PORTUGAL UNIPESSOAL, LDA. (508192943)";"2.850,00 €";31-03-2021;16-11-2020;5 dias;"Portugal, Coimbra, Figueira da Foz";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/PRODPublic/Tendering/OpportunityDetail/Index?noticeUID=PT1.NTC.1306694;false;
